week,home,away,winner
1,TEN,ARI,1
2,ARI,MIN,1
3,JAX,ARI,2
4,LAR,ARI,1
5,ARI,SF,1
6,CLE,ARI,2
7,ARI,HOU,1
8,ARI,GB,1
9,SF,ARI,1
10,ARI,CAR,1
11,SEA,ARI,2
13,CHI,ARI,1
14,ARI,LAR,1
15,DET,ARI,2
16,ARI,IND,2
17,DAL,ARI,1
18,ARI,SEA,1
1,ATL,PHI,1
2,TB,ATL,1
3,NYG,ATL,2
4,ATL,WSH,2
5,ATL,NYJ,1
7,MIA,ATL,1
8,ATL,CAR,1
9,NO,ATL,2
10,DAL,ATL,1
11,ATL,NE,1
12,JAX,ATL,2
13,ATL,TB,2
14,CAR,ATL,2
15,SF,ATL,1
16,ATL,DET,1
17,BUF,ATL,1
18,ATL,NO,2
1,LV,BAL,2
2,BAL,KC,1
3,DET,BAL,2
4,DEN,BAL,2
5,BAL,IND,1
6,BAL,LAC,2
7,BAL,CIN,1
9,BAL,MIN,1
10,MIA,BAL,2
11,CHI,BAL,2
12,BAL,CLE,2
13,PIT,BAL,2
14,CLE,BAL,2
15,BAL,GB,2
16,CIN,BAL,2
17,BAL,LAR,1
18,BAL,PIT,1
1,BUF,PIT,1
2,MIA,BUF,1
3,BUF,WSH,2
4,BUF,HOU,1
5,KC,BUF,1
6,TEN,BUF,2
8,BUF,MIA,1
9,JAX,BUF,2
10,NYJ,BUF,2
11,BUF,IND,2
12,NO,BUF,2
13,BUF,NE,1
14,TB,BUF,1
15,BUF,CAR,1
16,NE,BUF,2
18,BUF,NYJ,1
1,CAR,NYJ,1
2,CAR,NO,2
3,HOU,CAR,2
4,DAL,CAR,1
5,CAR,PHI,2
6,CAR,MIN,2
7,NYG,CAR,1
9,CAR,NE,2
11,CAR,WSH,2
12,MIA,CAR,2
16,CAR,TB,2
17,NO,CAR,2
18,TB,CAR,1
1,LAR,CHI,1
2,CHI,CIN,1
3,CLE,CHI,2
4,CHI,DET,1
5,LV,CHI,1
6,CHI,GB,1
7,TB,CHI,1
8,CHI,SF,2
9,PIT,CHI,2
12,DET,CHI,2
14,GB,CHI,1
15,CHI,MIN,2
16,SEA,CHI,2
17,CHI,NYG,1
18,MIN,CHI,2
1,CIN,MIN,2
3,PIT,CIN,1
4,CIN,JAX,1
5,CIN,GB,2
6,DET,CIN,2
8,NYJ,CIN,2
9,CIN,CLE,2
11,LV,CIN,2
12,CIN,PIT,1
13,CIN,LAC,2
14,CIN,SF,2
15,DEN,CIN,1
17,CIN,KC,2
18,CLE,CIN,1
1,KC,CLE,2
2,CLE,HOU,1
4,MIN,CLE,2
5,LAC,CLE,2
7,CLE,DEN,2
8,CLE,PIT,1
10,NE,CLE,2
11,CLE,DET,1
15,CLE,LV,2
16,GB,CLE,1
17,PIT,CLE,1
1,TB,DAL,1
2,LAC,DAL,1
3,DAL,PHI,1
5,DAL,NYG,1
6,NE,DAL,2
8,MIN,DAL,1
9,DAL,DEN,2
11,KC,DAL,1
12,DAL,LV,1
13,NO,DAL,2
14,WSH,DAL,1
15,NYG,DAL,2
16,DAL,WSH,1
18,PHI,DAL,1
1,NYG,DEN,2
2,JAX,DEN,2
3,DEN,NYJ,1
5,PIT,DEN,2
6,DEN,LV,2
8,DEN,WSH,2
10,DEN,PHI,2
12,DEN,LAC,2
13,KC,DEN,1
14,DEN,DET,1
16,LV,DEN,2
17,LAC,DEN,1
18,DEN,KC,2
1,DET,SF,2
2,GB,DET,1
5,MIN,DET,1
7,LAR,DET,1
8,DET,PHI,2
10,PIT,DET,1
13,DET,MIN,2
17,SEA,DET,1
18,DET,GB,1
1,NO,GB,2
3,SF,GB,1
4,GB,PIT,1
7,GB,WSH,1
9,KC,GB,1
10,GB,SEA,2
11,MIN,GB,1
12,GB,LAR,2
17,GB,MIN,1
1,HOU,JAX,2
5,HOU,NE,2
6,IND,HOU,1
8,HOU,LAR,2
9,MIA,HOU,1
11,TEN,HOU,1
12,HOU,NYJ,2
13,HOU,IND,2
14,HOU,SEA,2
15,JAX,HOU,2
16,HOU,LAC,2
17,SF,HOU,1
18,HOU,TEN,2
1,IND,SEA,1
2,IND,LAR,2
3,TEN,IND,1
4,MIA,IND,1
7,SF,IND,1
8,IND,TEN,1
9,IND,NYJ,1
10,IND,JAX,1
12,IND,TB,2
15,IND,NE,2
17,IND,LV,1
18,JAX,IND,1
5,JAX,TEN,1
6,JAX,MIA,2
8,SEA,JAX,1
11,JAX,SF,2
13,LAR,JAX,1
14,TEN,JAX,1
16,NYJ,JAX,2
17,NE,JAX,2
3,KC,LAC,2
4,PHI,KC,2
6,WSH,KC,2
7,TEN,KC,2
8,KC,NYG,1
10,LV,KC,1
14,KC,LV,1
15,LAC,KC,2
16,KC,PIT,1
4,LAC,LV,1
18,LV,LAC,2
1,WSH,LAC,2
8,LAC,NE,2
9,PHI,LAC,2
10,LAC,MIN,2
11,LAC,PIT,1
14,LAC,NYG,1
3,LAR,TB,1
5,SEA,LAR,1
6,NYG,LAR,2
9,LAR,TEN,2
10,SF,LAR,1
15,LAR,SEA,1
16,MIN,LAR,2
18,LAR,SF,1
2,PIT,LV,2
3,LV,MIA,2
7,LV,PHI,2
9,NYG,LV,1
13,LV,WSH,2
1,NE,MIA,2
5,TB,MIA,1
11,NYJ,MIA,1
13,MIA,NYG,2
15,MIA,NYJ,1
16,NO,MIA,2
17,TEN,MIA,2
18,MIA,NE,2
3,MIN,SEA,2
12,SF,MIN,1
14,MIN,PIT,2
2,NYJ,NE,2
3,NE,NO,2
4,NE,TB,2
7,NE,NYJ,2
12,NE,TEN,2
4,NO,NYG,2
5,WSH,NO,2
7,SEA,NO,1
8,NO,TB,2
10,TEN,NO,1
11,PHI,NO,2
14,NYJ,NO,2
15,TB,NO,1
2,WSH,NYG,1
11,TB,NYG,1
12,NYG,PHI,2
16,PHI,NYG,2
18,NYG,WSH,1
4,NYJ,TEN,2
13,NYJ,PHI,2
17,NYJ,TB,2
2,PHI,SF,2
6,PHI,TB,2
15,PHI,WSH,1
17,WSH,PHI,1
6,PIT,SEA,2
15,PIT,TEN,2
4,SF,SEA,1
13,SEA,SF,1
2,SEA,TEN,2
12,WSH,SEA,1
16,TEN,SF,2
10,WSH,TB,2
