week,team,total_score,total_score_proj,team_away,team_away_proj,team_away_score,result,result_proj,result_int
1,TheRealBauer,121.96,131.14,Speasy,132.76,72.58,TRUE,FALSE,1
1,Hubner,147.04,139.84,MarkusEXperte,130.6,160.06,FALSE,TRUE,0
1,MarkusEXperte,160.06,130.6,Hubner,139.84,147.04,TRUE,FALSE,1
1,MKx,166.46,141.58,StumpfistTrumpf,143.78,124.22,TRUE,FALSE,1
1,Hammichan,118.98,137.08,Wolverine88,135.03,111.48,TRUE,TRUE,1
1,Blitzkoerper85,143.12,130.53,AllTimeReadyPat,139.23,93.9,TRUE,FALSE,1
1,Wolverine88,111.48,135.03,Hammichan,137.08,118.98,FALSE,FALSE,0
1,StumpfistTrumpf,124.22,143.78,MKx,141.58,166.46,FALSE,TRUE,0
1,Speasy,72.58,132.76,TheRealBauer,131.14,121.96,FALSE,TRUE,0
1,AllTimeReadyPat,93.9,139.23,Blitzkoerper85,130.53,143.12,FALSE,TRUE,0
2,TheRealBauer,105.3,131.48,MKx,134.75,132,FALSE,FALSE,0
2,Hubner,173.96,142.49,Speasy,131.35,130.62,TRUE,TRUE,1
2,MarkusEXperte,121.52,131.1,AllTimeReadyPat,130.03,109.56,TRUE,TRUE,1
2,MKx,132,134.75,TheRealBauer,131.48,105.3,TRUE,TRUE,1
2,Hammichan,114.42,133.68,StumpfistTrumpf,136.66,128.8,FALSE,FALSE,0
2,Blitzkoerper85,114.28,129.15,Wolverine88,130.05,121.12,FALSE,FALSE,0
2,Wolverine88,121.12,130.05,Blitzkoerper85,129.15,114.28,TRUE,TRUE,1
2,StumpfistTrumpf,128.8,136.66,Hammichan,133.68,114.42,TRUE,TRUE,1
2,Speasy,130.62,131.35,Hubner,142.49,173.96,FALSE,FALSE,0
2,AllTimeReadyPat,109.56,130.03,MarkusEXperte,131.1,121.52,FALSE,FALSE,0
3,TheRealBauer,132.44,126.15,MarkusEXperte,136.27,136.82,FALSE,FALSE,0
3,Hubner,120.88,142.28,Wolverine88,131.42,126.94,FALSE,TRUE,0
3,MarkusEXperte,136.82,136.27,TheRealBauer,126.15,132.44,TRUE,TRUE,1
3,MKx,105.24,139.46,StumpfistTrumpf,134.68,104.24,TRUE,TRUE,1
3,Hammichan,134.4,126.03,Speasy,134.84,110.54,TRUE,FALSE,1
3,Blitzkoerper85,92.12,131.62,AllTimeReadyPat,124.67,140.52,FALSE,TRUE,0
3,Wolverine88,126.94,131.42,Hubner,142.28,120.88,TRUE,FALSE,1
3,StumpfistTrumpf,104.24,134.68,MKx,139.46,105.24,FALSE,FALSE,0
3,Speasy,110.54,134.84,Hammichan,126.03,134.4,FALSE,TRUE,0
3,AllTimeReadyPat,140.52,124.67,Blitzkoerper85,131.62,92.12,TRUE,FALSE,1
4,TheRealBauer,135.98,132.48,StumpfistTrumpf,124.31,100.32,TRUE,TRUE,1
4,Hubner,116.64,136.04,Blitzkoerper85,131.93,100.02,TRUE,TRUE,1
4,MarkusEXperte,142.46,138.08,Speasy,134.51,118.68,TRUE,TRUE,1
4,MKx,94.46,132.3,Hammichan,130.6,102.62,FALSE,TRUE,0
4,Hammichan,102.62,130.6,MKx,132.3,94.46,TRUE,FALSE,1
4,Blitzkoerper85,100.02,131.93,Hubner,136.04,116.64,FALSE,FALSE,0
4,Wolverine88,113.74,127.75,AllTimeReadyPat,130.78,144.02,FALSE,FALSE,0
4,StumpfistTrumpf,100.32,124.31,TheRealBauer,132.48,135.98,FALSE,FALSE,0
4,Speasy,118.68,134.51,MarkusEXperte,138.08,142.46,FALSE,FALSE,0
4,AllTimeReadyPat,144.02,130.78,Wolverine88,127.75,113.74,TRUE,TRUE,1
5,TheRealBauer,142.12,130.08,MKx,124.5,120.36,TRUE,TRUE,1
5,Hubner,163.68,141.85,Wolverine88,126.28,150.84,TRUE,TRUE,1
5,MarkusEXperte,116.98,134.54,AllTimeReadyPat,130.96,164.8,FALSE,TRUE,0
5,MKx,120.36,124.5,TheRealBauer,130.08,142.12,FALSE,FALSE,0
5,Hammichan,137.88,114.98,Speasy,131.6,134.12,TRUE,FALSE,1
5,Blitzkoerper85,122.78,130.88,StumpfistTrumpf,115.39,82.76,TRUE,TRUE,1
5,Wolverine88,150.84,126.28,Hubner,141.85,163.68,FALSE,FALSE,0
5,StumpfistTrumpf,82.76,115.39,Blitzkoerper85,130.88,122.78,FALSE,FALSE,0
5,Speasy,134.12,131.6,Hammichan,114.98,137.88,FALSE,TRUE,0
5,AllTimeReadyPat,164.8,130.96,MarkusEXperte,134.54,116.98,TRUE,FALSE,1
6,TheRealBauer,122.2,129.73,StumpfistTrumpf,114.29,146.2,FALSE,TRUE,0
6,Hubner,121.98,136.42,Hammichan,135.3,134.38,FALSE,TRUE,0
6,MarkusEXperte,122.38,130.29,Blitzkoerper85,128.54,147.4,FALSE,TRUE,0
6,MKx,140.88,121.16,Speasy,120.08,111.7,TRUE,TRUE,1
6,Hammichan,134.38,135.3,Hubner,136.42,121.98,TRUE,FALSE,1
6,Blitzkoerper85,147.4,128.54,MarkusEXperte,130.29,122.38,TRUE,FALSE,1
6,Wolverine88,117.74,116.48,AllTimeReadyPat,137.29,131.42,FALSE,FALSE,0
6,StumpfistTrumpf,146.2,114.29,TheRealBauer,129.73,122.2,TRUE,FALSE,1
6,Speasy,111.7,120.08,MKx,121.16,140.88,FALSE,FALSE,0
6,AllTimeReadyPat,131.42,137.29,Wolverine88,116.48,117.74,TRUE,TRUE,1
7,TheRealBauer,105.24,112.96,Speasy,113.58,95.3,TRUE,FALSE,1
7,Hubner,108.08,129.05,MarkusEXperte,117.09,85.88,TRUE,TRUE,1
7,MarkusEXperte,85.88,117.09,Hubner,129.05,108.08,FALSE,FALSE,0
7,MKx,128.94,136.18,AllTimeReadyPat,120.67,138.56,FALSE,TRUE,0
7,Hammichan,124.04,102.02,StumpfistTrumpf,111.67,108.46,TRUE,FALSE,1
7,Blitzkoerper85,108.14,121.51,Wolverine88,125.63,160.54,FALSE,FALSE,0
7,Wolverine88,160.54,125.63,Blitzkoerper85,121.51,108.14,TRUE,TRUE,1
7,StumpfistTrumpf,108.46,111.67,Hammichan,102.02,124.04,FALSE,TRUE,0
7,Speasy,95.3,113.58,TheRealBauer,112.96,105.24,FALSE,TRUE,0
7,AllTimeReadyPat,138.56,120.67,MKx,136.18,128.94,TRUE,FALSE,1
8,TheRealBauer,124.22,126.2,AllTimeReadyPat,130.9,143.46,FALSE,FALSE,0
8,Hubner,100.6,126.61,Blitzkoerper85,131.27,119.08,FALSE,FALSE,0
8,MarkusEXperte,100.16,140.25,Wolverine88,124.41,136.26,FALSE,TRUE,0
8,MKx,112.76,141.74,Hammichan,137.06,97.5,TRUE,TRUE,1
8,Hammichan,97.5,137.06,MKx,141.74,112.76,FALSE,FALSE,0
8,Blitzkoerper85,119.08,131.27,Hubner,126.61,100.6,TRUE,TRUE,1
8,Wolverine88,136.26,124.41,MarkusEXperte,140.25,100.16,TRUE,FALSE,1
8,StumpfistTrumpf,77.16,117.56,Speasy,126.99,110.12,FALSE,FALSE,0
8,Speasy,110.12,126.99,StumpfistTrumpf,117.56,77.16,TRUE,TRUE,1
8,AllTimeReadyPat,143.46,130.9,TheRealBauer,126.2,124.22,TRUE,TRUE,1
9,TheRealBauer,94.78,131.28,Hammichan,125.46,85.54,TRUE,TRUE,1
9,Hubner,107.94,134.44,AllTimeReadyPat,137.17,124.06,FALSE,FALSE,0
9,MarkusEXperte,63.4,119.87,Wolverine88,124.43,138.48,FALSE,FALSE,0
9,MKx,100.28,120.22,Blitzkoerper85,126.38,112.98,FALSE,FALSE,0
9,Hammichan,85.54,125.46,TheRealBauer,131.28,94.78,FALSE,FALSE,0
9,Blitzkoerper85,112.98,126.38,MKx,120.22,100.28,TRUE,TRUE,1
9,Wolverine88,138.48,124.43,MarkusEXperte,119.87,63.4,TRUE,TRUE,1
9,StumpfistTrumpf,98.88,115.63,Speasy,125.18,106.84,FALSE,FALSE,0
9,Speasy,106.84,125.18,StumpfistTrumpf,115.63,98.88,TRUE,TRUE,1
9,AllTimeReadyPat,124.06,137.17,Hubner,134.44,107.94,TRUE,TRUE,1
10,TheRealBauer,129.08,129.66,Wolverine88,131.69,136.34,FALSE,FALSE,0
10,Hubner,105.32,134.7,MKx,122.82,103.6,TRUE,TRUE,1
10,MarkusEXperte,87.34,135.07,StumpfistTrumpf,131.66,96.88,FALSE,TRUE,0
10,MKx,103.6,122.82,Hubner,134.7,105.32,FALSE,FALSE,0
10,Hammichan,134.54,131.98,AllTimeReadyPat,146.53,92.74,TRUE,FALSE,1
10,Blitzkoerper85,94.94,121.75,Speasy,111.51,90.8,TRUE,TRUE,1
10,Wolverine88,136.34,131.69,TheRealBauer,129.66,129.08,TRUE,TRUE,1
10,StumpfistTrumpf,96.88,131.66,MarkusEXperte,135.07,87.34,TRUE,FALSE,1
10,Speasy,90.8,111.51,Blitzkoerper85,121.75,94.94,FALSE,FALSE,0
10,AllTimeReadyPat,92.74,146.53,Hammichan,131.98,134.54,FALSE,TRUE,0
11,TheRealBauer,116.98,128.17,Blitzkoerper85,124.3,96.04,TRUE,TRUE,1
11,Hubner,125.06,122.97,StumpfistTrumpf,119.14,158.5,FALSE,TRUE,0
11,MarkusEXperte,109.98,130.44,Hammichan,138.11,111.5,FALSE,FALSE,0
11,MKx,66.08,110.82,Wolverine88,129.62,108.62,FALSE,FALSE,0
11,Hammichan,111.5,138.11,MarkusEXperte,130.44,109.98,TRUE,TRUE,1
11,Blitzkoerper85,96.04,124.3,TheRealBauer,128.17,116.98,FALSE,FALSE,0
11,Wolverine88,108.62,129.62,MKx,110.82,66.08,TRUE,TRUE,1
11,StumpfistTrumpf,158.5,119.14,Hubner,122.97,125.06,TRUE,FALSE,1
11,Speasy,161.08,122.71,AllTimeReadyPat,133.48,129.66,TRUE,FALSE,1
11,AllTimeReadyPat,129.66,133.48,Speasy,122.71,161.08,FALSE,TRUE,0
12,TheRealBauer,92.86,121.63,Hammichan,130.9,85.72,TRUE,FALSE,1
12,Hubner,113.96,124.35,AllTimeReadyPat,135.65,158.5,FALSE,FALSE,0
12,MarkusEXperte,110.18,118.05,Blitzkoerper85,123.4,155.5,FALSE,FALSE,0
12,MKx,109.74,113.1,Speasy,127.18,124.32,FALSE,FALSE,0
12,Hammichan,85.72,130.9,TheRealBauer,121.63,92.86,FALSE,TRUE,0
12,Blitzkoerper85,155.5,123.4,MarkusEXperte,118.05,110.18,TRUE,TRUE,1
12,Wolverine88,100.3,132.94,StumpfistTrumpf,134.59,116.88,FALSE,FALSE,0
12,StumpfistTrumpf,116.88,134.59,Wolverine88,132.94,100.3,TRUE,TRUE,1
12,Speasy,124.32,127.18,MKx,113.1,109.74,TRUE,TRUE,1
12,AllTimeReadyPat,158.5,135.65,Hubner,124.35,113.96,TRUE,TRUE,1
13,TheRealBauer,169.82,127.85,Hubner,125.94,156.42,TRUE,TRUE,1
13,Hubner,156.42,125.94,TheRealBauer,127.85,169.82,FALSE,FALSE,0
13,MarkusEXperte,103.74,121.33,MKx,111.96,86.32,TRUE,TRUE,1
13,MKx,86.32,111.96,MarkusEXperte,121.33,103.74,FALSE,FALSE,0
13,Hammichan,165.16,132.14,Blitzkoerper85,118.5,66.52,TRUE,TRUE,1
13,Blitzkoerper85,66.52,118.5,Hammichan,132.14,165.16,FALSE,FALSE,0
13,Wolverine88,115.26,119.33,Speasy,127.89,92.28,TRUE,FALSE,1
13,StumpfistTrumpf,132.56,119.13,AllTimeReadyPat,131.97,108.8,TRUE,FALSE,1
13,Speasy,92.28,127.89,Wolverine88,119.33,115.26,FALSE,TRUE,0
13,AllTimeReadyPat,108.8,131.97,StumpfistTrumpf,119.13,132.56,FALSE,TRUE,0
14,TheRealBauer,120.92,130.49,AllTimeReadyPat,123.17,122.42,FALSE,TRUE,0
14,Hubner,113.58,138.51,StumpfistTrumpf,112.07,117.34,FALSE,TRUE,0
14,MarkusEXperte,136.4,116.93,Speasy,129.74,127.1,TRUE,FALSE,1
14,MKx,130.72,120.82,Blitzkoerper85,110.51,61.54,TRUE,TRUE,1
14,Hammichan,179.82,130.02,Wolverine88,132.13,150.62,TRUE,FALSE,1
14,Blitzkoerper85,61.54,110.51,MKx,120.82,130.72,FALSE,FALSE,0
14,Wolverine88,150.62,132.13,Hammichan,130.02,179.82,FALSE,TRUE,0
14,StumpfistTrumpf,117.34,112.07,Hubner,138.51,113.58,TRUE,FALSE,1
14,Speasy,127.1,129.74,MarkusEXperte,116.93,136.4,FALSE,TRUE,0
14,AllTimeReadyPat,122.42,123.17,TheRealBauer,130.49,120.92,TRUE,FALSE,1
