week 1 :,(1-2),(3-4),(6-7),(8-9),(5-10)
week 2 :,(2-3),(4-5),(7-8),(9-10),(1-6)
week 3 :,(3-4),(5-1),(8-9),(10-6),(2-7)
week 4 :,(4-5),(1-2),(9-10),(6-7),(3-8)
week 5 :,(5-1),(2-3),(10-6),(7-8),(4-9)
,,,,,
week 6 :,(1-3),(2-4),(7-9),(8-10),(5-6)
week 7 :,(2-4),(3-5),(8-10),(9-6),(1-7)
week 8 :,(3-5),(4-1),(9-6),(10-7),(2-8)
week 9 :,(4-1),(5-2),(10-7),(6-8),(3-9)
week 10 :,(5-2),(1-3),(6-8),(7-9),(4-10)
,,,,,
week 11 :,(1-8),(2-9),(3-10),(4-6),(5-7)
week 12 :,(1-9),(2-10),(3-6),(4-7),(5-8)
week 13 :,(1-10),(2-6),(3-7),(4-8),(5-9)